customer_id,age,job,marital,education,default,balance,housing,loan,contact_id
1,48,management,married,secondary,no,268,yes,no,36083
2,54,management,married,tertiary,no,1411,no,no,10719
3,47,admin.,married,secondary,no,2354,yes,no,42461
4,33,unemployed,single,tertiary,no,0,yes,no,2532
5,38,technician,single,secondary,no,884,yes,yes,39842
6,33,admin.,married,secondary,no,920,no,no,4414
7,33,blue-collar,single,secondary,no,-367,yes,yes,40547
8,27,admin.,divorced,secondary,no,451,yes,no,18845
9,51,entrepreneur,divorced,tertiary,no,58,yes,no,23055
10,33,technician,single,secondary,no,239,yes,no,11448
11,48,management,married,primary,no,3230,yes,no,17259
12,40,admin.,single,secondary,no,664,no,no,23412
13,43,management,single,tertiary,no,11891,no,no,31429
14,39,services,divorced,secondary,no,687,yes,no,8577
15,39,blue-collar,married,secondary,no,1360,yes,no,3953
16,20,student,single,unknown,no,167,no,no,5396
17,50,blue-collar,married,primary,no,1617,no,no,44818
18,32,services,single,secondary,no,481,yes,no,26326
19,48,management,married,secondary,no,-440,yes,yes,20694
20,44,technician,divorced,unknown,no,1823,no,no,13869
21,29,admin.,single,unknown,no,175,no,no,40306
22,59,technician,married,secondary,no,4263,no,yes,44465
23,56,retired,married,primary,no,16432,no,no,9917
24,44,blue-collar,married,unknown,no,1529,yes,no,39382
25,57,blue-collar,married,primary,no,23,yes,no,39272
26,60,management,married,tertiary,no,474,no,no,19827
27,58,retired,married,secondary,no,2553,no,no,45035
28,37,services,married,secondary,no,580,yes,no,22365
29,36,blue-collar,married,secondary,no,590,yes,no,17281
30,36,unemployed,divorced,secondary,no,1366,no,yes,32478
31,28,services,single,secondary,no,1136,no,no,44202
32,36,unemployed,single,tertiary,no,9019,yes,no,27296
33,35,self-employed,married,primary,no,712,yes,no,34252
34,27,student,single,secondary,no,217,yes,no,10652
35,42,blue-collar,married,primary,no,555,yes,no,28469
36,50,blue-collar,married,primary,no,403,no,no,32783
37,72,retired,married,secondary,no,1129,no,no,39787
38,41,management,married,tertiary,no,9,yes,no,267
39,48,blue-collar,single,primary,no,8990,no,no,37030
40,34,admin.,divorced,secondary,no,661,yes,no,13219
41,82,retired,married,unknown,no,211,no,no,12438
42,43,admin.,married,secondary,no,477,yes,no,6568
43,29,technician,single,secondary,no,3466,no,no,15832
44,32,blue-collar,married,secondary,no,136,no,no,32310
45,41,blue-collar,single,primary,no,-206,no,no,45116
46,35,technician,married,secondary,no,2189,no,no,3127
47,33,management,married,tertiary,no,8339,yes,no,6120
48,73,retired,divorced,tertiary,no,3203,no,no,22801
49,28,admin.,married,secondary,no,213,yes,no,26492
50,29,entrepreneur,married,tertiary,no,0,yes,no,36843
51,36,technician,single,tertiary,no,470,yes,no,43684
52,59,management,married,tertiary,no,0,no,no,8165
53,67,retired,divorced,secondary,no,704,no,no,36129
54,49,technician,married,secondary,no,175,yes,yes,29398
55,41,blue-collar,married,secondary,no,475,yes,no,21164
56,33,services,married,secondary,no,930,no,yes,34011
57,34,technician,married,tertiary,no,4,yes,no,32848
58,28,services,married,secondary,no,633,no,yes,755
59,29,admin.,single,secondary,no,130,no,no,34700
