contact_id,contact,day,month,year,duration,campaign
1,telephone,21,nov,2009,178,5
2,cellular,13,may,2009,143,1
3,cellular,20,apr,2009,6,6
4,cellular,31,jul,2010,124,10
5,cellular,12,aug,2009,810,3
6,unknown,20,may,2010,378,3
7,unknown,9,jun,2009,198,2
8,unknown,26,may,2009,200,3
9,unknown,3,jun,2010,220,3
10,cellular,11,aug,2009,153,1
11,telephone,12,jun,2009,137,3
12,cellular,6,aug,2009,91,3
13,unknown,9,may,2009,20,1
14,cellular,15,jun,2009,173,1
15,cellular,20,apr,2009,1333,5
16,cellular,29,jan,2009,180,1
17,cellular,25,may,2009,426,1
18,cellular,1,sep,2008,293,2
19,telephone,15,apr,2010,358,2
20,cellular,7,aug,2009,419,3
21,cellular,7,aug,2010,1182,1
22,cellular,20,apr,2009,239,1
23,cellular,3,feb,2009,116,3
24,cellular,10,mar,2009,350,2
25,cellular,25,feb,2009,196,1
26,unknown,16,may,2009,1297,3
27,cellular,17,nov,2009,564,2
28,unknown,13,may,2009,150,2
29,unknown,3,jun,2009,113,11
30,unknown,13,may,2009,138,1
31,cellular,17,apr,2009,299,2
32,cellular,13,aug,2010,325,2
33,cellular,2,feb,2009,117,7
34,cellular,20,nov,2010,187,2
35,cellular,5,feb,2009,22,7
36,cellular,19,nov,2010,79,1
37,cellular,11,may,2009,227,1
38,cellular,8,jul,2009,305,1
39,cellular,4,feb,2009,82,2
40,unknown,4,aug,2010,64,1
41,cellular,18,may,2010,15,8
42,unknown,30,may,2010,25,4
43,cellular,12,aug,2010,44,1
44,cellular,12,aug,2009,128,2
45,unknown,8,may,2009,255,1
46,cellular,3,feb,2009,373,1
47,cellular,13,apr,2009,151,1
48,telephone,17,oct,2009,223,1
49,cellular,20,nov,2009,408,1
50,cellular,20,aug,2009,329,4
51,cellular,7,may,2009,189,2
52,cellular,12,may,2010,68,1
53,cellular,28,jan,2008,168,2
54,cellular,13,aug,2010,299,4
55,cellular,15,jul,2009,514,5
56,unknown,6,may,2010,371,2
57,cellular,18,aug,2010,192,7
58,cellular,21,jul,2008,111,2
59,cellular,24,jul,2009,91,1
60,cellular,5,may,2009,26,1
61,cellular,12,aug,2008,235,2
62,cellular,30,oct,2009,175,1
63,cellular,17,nov,2010,179,1
64,unknown,12,jun,2009,157,1
65,telephone,14,may,2009,46,2
66,cellular,23,sep,2010,180,2
67,telephone,25,oct,2009,293,3
68,cellular,2,feb,2009,170,1
69,cellular,11,may,2008,344,1
70,unknown,12,jun,2010,138,1
71,unknown,2,jun,2009,68,1
72,cellular,28,oct,2010,1118,1
73,unknown,9,nov,2009,299,1
74,cellular,17,feb,2009,73,2
75,unknown,13,may,2009,205,1
76,telephone,9,jul,2010,145,2
77,cellular,7,jul,2010,722,3
78,cellular,28,aug,2010,16,28
79,cellular,4,sep,2009,316,3
80,cellular,10,jul,2009,721,3
81,telephone,31,jul,2008,31,3
82,cellular,17,nov,2010,107,1
83,cellular,5,aug,2010,231,1
84,unknown,18,jun,2009,1060,5
85,cellular,9,jul,2009,556,5
86,cellular,26,may,2010,66,1
87,cellular,18,may,2010,599,1
88,cellular,13,oct,2009,845,1
89,cellular,28,dec,2009,250,3
90,cellular,26,aug,2009,0,15
91,cellular,18,nov,2009,200,1
92,unknown,28,may,2009,217,5
93,unknown,26,may,2009,112,2
94,cellular,8,may,2009,40,6
95,unknown,26,may,2009,1560,2
96,cellular,21,jul,2010,95,1
97,unknown,5,may,2009,107,1
98,cellular,20,apr,2009,476,3
99,unknown,28,may,2010,180,2
100,cellular,30,apr,2010,315,1
101,telephone,2,jun,2009,306,2
102,cellular,31,jul,2009,85,4
103,cellular,13,may,2009,734,2
104,cellular,9,apr,2010,214,1
105,cellular,7,apr,2010,263,2
106,cellular,19,nov,2008,418,2
107,unknown,14,may,2010,260,2
108,telephone,18,nov,2009,217,2
109,cellular,14,may,2009,43,3
110,cellular,16,apr,2009,177,1
111,unknown,28,may,2010,390,1
112,cellular,12,aug,2008,191,2
113,unknown,30,may,2009,521,2
114,cellular,22,jul,2010,44,13
115,cellular,29,jan,2009,107,3
116,cellular,7,may,2009,181,1
117,cellular,17,apr,2010,1364,2
118,cellular,27,feb,2010,131,2
119,unknown,11,jun,2010,439,1
120,unknown,22,aug,2009,11,1
121,cellular,17,jul,2010,342,2
122,cellular,16,jul,2010,156,3
123,cellular,7,aug,2009,402,2
124,cellular,30,jul,2010,244,2
125,cellular,22,dec,2009,321,2
126,unknown,20,may,2010,188,3
127,cellular,3,feb,2010,282,1
128,cellular,11,feb,2009,67,1
129,unknown,29,may,2008,67,2
130,cellular,5,jun,2009,577,3
131,unknown,2,jun,2010,174,1
132,cellular,5,may,2009,227,1
133,cellular,6,oct,2010,384,2
134,unknown,6,jun,2009,431,2
135,unknown,12,may,2010,470,1
136,cellular,22,aug,2009,78,2
137,unknown,28,may,2009,97,4
138,cellular,28,jan,2009,63,1
139,unknown,28,aug,2009,8,1
140,cellular,29,aug,2009,116,4
141,unknown,26,may,2008,104,1
142,cellular,18,may,2009,22,3
143,cellular,11,aug,2008,326,4
144,unknown,8,may,2010,161,8
145,cellular,19,nov,2009,394,2
146,telephone,20,apr,2010,534,1
147,cellular,30,apr,2010,230,1
148,unknown,19,may,2010,318,1
149,cellular,17,jul,2009,770,2
150,cellular,17,aug,2009,156,1
151,cellular,3,nov,2008,358,1
152,cellular,9,jul,2009,100,5
153,cellular,8,jul,2009,123,4
154,cellular,22,aug,2008,361,4
155,cellular,28,jan,2009,90,1
156,unknown,28,may,2010,173,3
157,unknown,14,may,2010,230,2
158,cellular,8,may,2009,296,5
159,cellular,25,aug,2010,139,9
160,cellular,28,aug,2008,56,2
161,cellular,8,apr,2009,1134,1
162,cellular,7,jul,2008,61,6
163,unknown,15,may,2009,80,1
164,unknown,5,may,2008,156,2
165,cellular,8,aug,2010,63,2
166,cellular,28,jan,2009,255,1
167,cellular,22,jul,2009,312,3
168,cellular,9,jul,2009,668,1
169,cellular,19,nov,2009,316,1
170,unknown,29,may,2009,129,2
171,cellular,2,feb,2009,871,4
172,cellular,29,jan,2009,249,1
173,telephone,29,jul,2009,616,13
174,cellular,21,nov,2009,132,1
175,cellular,18,jul,2009,225,7
176,cellular,17,aug,2008,75,1
177,cellular,7,may,2008,539,1
178,cellular,7,sep,2009,288,3
179,telephone,14,jul,2008,310,3
180,unknown,14,may,2009,146,1
181,cellular,15,jul,2010,82,2
182,cellular,14,may,2009,10,5
183,cellular,22,aug,2009,160,2
184,unknown,29,may,2009,244,1
185,cellular,7,aug,2010,123,3
186,telephone,14,jun,2009,215,1
187,cellular,20,nov,2010,207,5
188,unknown,11,jun,2010,215,2
189,unknown,6,jun,2010,97,5
190,cellular,11,may,2010,218,4
191,telephone,17,jul,2009,46,6
192,cellular,17,nov,2009,70,1
193,telephone,6,apr,2009,1353,2
194,cellular,6,may,2010,208,1
195,cellular,30,jul,2009,153,2
196,unknown,20,jun,2009,29,3
197,cellular,30,jul,2009,52,7
198,cellular,5,jun,2009,110,2
199,cellular,15,may,2010,84,1
200,cellular,20,nov,2010,405,1
201,unknown,30,may,2010,152,1
202,cellular,29,jan,2009,418,2
203,cellular,30,apr,2010,155,1
