Box,Rating,Budget,StarPower,Sequel,Action,Comedy,Animated,Horror,Fandango,HSX,Movie
63106589.00,2,150.00,42.51,1,0,0,1,0,0.79,143.03,Madagascar 2
69637740.00,3,37.00,16.75,0,0,0,0,0,0.77,128.01,Twilight
67528882.00,3,200.00,28.08,1,1,0,0,0,0.76,163.91,Quantum of Solace
70950500.00,3,85.00,16.62,1,1,0,0,0,0.71,105.91,Fast and Furious
14851136.00,3,55.00,23.61,0,0,0,0,0,0.70,84.16,Seven Pounds
55214334.00,4,150.00,26.64,0,1,0,0,0,0.70,169.62,Watchmen
59321095.00,2,175.00,61.24,0,0,0,1,0,0.70,155.27,Monsters vs. Aliens
30480153.00,3,80.00,29.92,0,1,0,0,0,0.68,133.95,The Day the Earth Stood Still
20828511.00,4,35.00,13.54,1,1,0,0,0,0.68,43.14,Underworld: Rise of the Lycans
24604751.00,3,50.00,11.99,0,0,0,0,0,0.67,43.93,Knowing
18262471.00,3,70.00,29.14,0,0,1,0,0,0.66,86.36,Yes Man
31069826.00,3,80.00,48.06,0,0,1,0,0,0.63,70.05,Four Christmases
4271451.00,4,35.00,7.03,1,1,0,0,0,0.62,31.7,Punisher: War Zone
26853816.00,3,150.00,35.84,0,0,0,0,0,0.62,60.09,The Curious Case of Benjamin Button
5329240.00,3,22.00,4.25,0,1,0,0,0,0.62,15.53,12 Rounds
12063452.00,3,40.00,6.53,1,1,0,0,0,0.59,39.61,Transporter 3
10103675.00,1,60.00,57.84,0,0,0,1,0,0.58,63.62,Tale of Despereaux
21058173.00,2,30.00,22.75,0,0,1,0,0,0.58,55.98,Bride Wars
7601379.00,2,60.00,34.6,0,1,0,0,0,0.58,34.68,Inkheart
24402214.00,2,69.40,18.06,0,1,0,0,0,0.58,75.47,Race to Witch Mountain
10079109.00,3,38.00,20.6,0,1,0,0,0,0.55,24.31,Push
31832636.00,2,26.00,10.25,0,0,1,0,0,0.54,34,Paul Blart: Mall Cop
27785487.00,3,37.40,54.75,0,0,1,0,0,0.54,70.68,He's Just Not That Into You
26223128.00,2,150.00,19.02,0,0,0,1,0,0.53,136.64,Bolt
36357586.00,2,37.40,18.99,0,0,1,0,0,0.53,67.47,Marley and Me
27450296.00,2,80.00,36.65,0,0,1,0,0,0.53,121.04,Bedtime Stories
23004765.00,3,16.70,5.96,0,0,0,0,1,0.53,25.13,The Haunting In Connecticut
40570365.00,4,19.00,1.87,1,0,0,0,1,0.52,55.64,Friday the 13th
8911827.00,4,32.00,19.09,0,0,0,0,0,0.50,16.57,Defiance
19167085.00,4,28.00,19.83,0,0,1,0,0,0.49,29.75,Role Models
14800723.00,3,130.00,21.47,0,0,0,0,0,0.49,43.94,Australia
6463278.00,3,69.40,32.67,0,1,0,0,0,0.48,32.92,The Spirit
24717037.00,3,38.00,14.93,0,1,0,0,0,0.48,22.96,Taken
5722039.00,4,10.00,16.09,0,0,1,0,0,0.47,21.81,Adventureland
21027007.00,3,95.00,33.39,0,0,0,0,0,0.45,63.5,Valkyrie
11588150.00,2,37.40,43.52,1,0,1,0,0,0.45,51.58,Pink Panther 2
15066360.00,2,37.40,31.14,0,0,1,0,0,0.44,44.8,Confessions of a Shopaholic
14118685.00,4,16.70,6.72,0,0,0,0,1,0.44,29.02,Last House on the Left
17810270.00,4,37.40,26.88,0,0,1,0,0,0.42,57.65,"I Love You, Man"
20497596.00,4,20.00,10.03,0,0,0,0,0,0.41,31.63,Notorious
10325824.00,3,16.70,10.9,0,0,0,0,1,0.41,23.68,The Uninvited
4721110.00,3,50.00,12.68,0,1,0,0,0,0.41,30.5,Street Fighter: The Legend of Chun-Li
5185146.00,4,35.00,24.36,0,0,0,0,0,0.40,20.47,Revolutionary Road
29484388.00,4,33.00,9.33,0,0,0,0,0,0.38,32.91,Gran Torino
19810585.00,3,16.00,22.45,0,0,0,0,1,0.37,36.26,The Unborn
5401605.00,4,37.40,15.69,0,0,1,0,0,0.36,29.59,Soul Men
17012212.00,2,35.00,17.15,0,0,1,0,0,0.36,32.21,Hotel for Dogs
13965110.00,3,60.00,28.63,0,0,0,0,0,0.36,51.47,Duplicity
21241456.00,4,15.00,5.15,0,0,0,0,1,0.35,29.69,My Bloody Valentine 3D
6741530.00,2,37.40,16.43,0,0,1,0,0,0.34,14.1,New in Town
41030947.00,3,37.40,14.58,1,0,1,0,0,0.34,57.91,Tyler Perry's Madea Goes to Jail
3531664.00,3,37.40,21.58,0,0,1,0,0,0.33,8.78,Nothing like the Holidays
16849640.00,2,35.00,13.01,0,0,0,1,0,0.33,25.51,Coraline
2409156.00,4,37.40,0,0,0,1,0,0,0.30,13.18,Miss March
12510374.00,1,37.40,0,0,0,1,0,0,0.29,56.13,Jonas Brothers: The 3D Experience
9331739.00,4,50.00,14.58,0,0,0,0,0,0.27,26,The International
5483778.00,3,20.00,12.31,0,0,1,0,0,0.26,30.55,Fired Up
5339742.00,3,20.00,23.09,0,0,0,0,0,0.25,12.01,Doubt
3445559.00,4,12.00,36.88,0,0,0,0,0,0.23,20.2,Cadillac Records
4299805.00,3,47.50,19.18,0,0,0,0,0,0.23,5.9,Last Chance Harvey
511920.00,2,40.00,25.78,0,0,0,1,0,0.18,3.39,Delgo
5314278.00,3,5.00,4.09,0,0,0,0,0,0.15,11.75,Not Easily Broken
